track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
38yZBKFHK1OgXg7VXu7olm,Basta't Kasama Kita,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,255040,2012-01-01,29,0.455,0.281,3,-9.234,1,0.0397,0.889,0.00118,0.148,0.329,133.939,38yZBKFHK1OgXg7VXu7olm,38yZBKFHK1OgXg7VXu7olm
7JIGvuVUQEzaWdDQglFP0S,Bukas Na Lang Kita Mamahalin,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5jzfPxlD5UD4Aw3cEnelcC,254986,2012-01-01,21,0.575,0.203,9,-11.202,1,0.0374,0.909,0.0159,0.102,0.156,75.028,7JIGvuVUQEzaWdDQglFP0S,7JIGvuVUQEzaWdDQglFP0S
67ZqWdi9kwy4HYu9eZxUL2,Ipagpatawad Mo - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,238720,2012-01-01,7,0.669,0.463,6,-10.314,0,0.0295,0.614,0.53,0.098,0.278,140.049,67ZqWdi9kwy4HYu9eZxUL2,67ZqWdi9kwy4HYu9eZxUL2
4ZMDclBXG6YxikZnJb4FLI,Bakit Ba Ganyan - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,312520,2012-01-01,4,0.686,0.276,11,-10.305,1,0.03,0.865,0.765,0.119,0.147,139.986,4ZMDclBXG6YxikZnJb4FLI,4ZMDclBXG6YxikZnJb4FLI
0Wno1Q4pJxHHp0rzIeRS0F,Pikit - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,392880,2012-01-01,1,0.656,0.345,9,-9.965,1,0.0331,0.831,0.568,0.121,0.0833,140.003,0Wno1Q4pJxHHp0rzIeRS0F,0Wno1Q4pJxHHp0rzIeRS0F
4zDoXmzC2qDpb3TVFTnpYJ,Tuloy Pa Rin - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,236333,2012-01-01,3,0.785,0.533,7,-7.372,1,0.0434,0.599,0.82,0.101,0.339,110.02,4zDoXmzC2qDpb3TVFTnpYJ,4zDoXmzC2qDpb3TVFTnpYJ
7kgfVTeVMwm4jveNR3PDde,Magkasuyo Buong Gabi - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,237053,2012-01-01,5,0.68,0.36,7,-11.797,1,0.0374,0.804,0.79,0.143,0.374,150.03,7kgfVTeVMwm4jveNR3PDde,7kgfVTeVMwm4jveNR3PDde
1wPUfVXrpVjPa8b91KwLAC,Nandito Ako - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,269586,2012-01-01,4,0.684,0.0948,1,-19.83,0,0.0759,0.899,0.789,0.107,0.218,139.892,1wPUfVXrpVjPa8b91KwLAC,1wPUfVXrpVjPa8b91KwLAC
5Keg4HiBjG3LZBtwkxUOed,Sa Isip Ko - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,215213,2012-01-01,1,0.615,0.341,0,-11.684,1,0.0339,0.282,0.854,0.179,0.45,171.937,5Keg4HiBjG3LZBtwkxUOed,5Keg4HiBjG3LZBtwkxUOed
0fKIYcJD3mYvgAIYZrVn8h,Kamakailan Lang - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,316426,2012-01-01,1,0.627,0.552,9,-8.376,1,0.0337,0.724,0.941,0.0536,0.616,145.977,0fKIYcJD3mYvgAIYZrVn8h,0fKIYcJD3mYvgAIYZrVn8h
7dOUDPsOUgd7992K5o6PWj,Sana Dalawa Ang Puso Ko - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,287786,2012-01-01,6,0.666,0.411,9,-10.478,1,0.0277,0.459,0.249,0.517,0.158,130.083,7dOUDPsOUgd7992K5o6PWj,7dOUDPsOUgd7992K5o6PWj
5otfMfCkxtpG9JKeuINH5h,Miss Kita - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,298786,2012-01-01,1,0.721,0.574,1,-7.488,1,0.0415,0.696,0.8,0.348,0.502,85.006,5otfMfCkxtpG9JKeuINH5h,5otfMfCkxtpG9JKeuINH5h
3TaIjVcPAcByVBZlqLevCJ,Basta't Kasama Kita - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,256653,2012-01-01,9,0.564,0.15,3,-10.257,1,0.044,0.978,0.651,0.151,0.147,67.116,3TaIjVcPAcByVBZlqLevCJ,3TaIjVcPAcByVBZlqLevCJ
2x7DmZVp2jmh4GaHtWX4VL,Bukas Na Lang Kita Mamahalin - Instrumental,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4oif6qMFEOF3E6uf0bvDOV,254813,2012-01-01,13,0.674,0.121,9,-15.012,1,0.0549,0.908,0.9,0.0995,0.114,75.033,2x7DmZVp2jmh4GaHtWX4VL,2x7DmZVp2jmh4GaHtWX4VL
079YDRVV6NaioJUkWD1YWG,Try,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,224240,2010-01-01,2,0.483,0.584,8,-5.096,0,0.0329,0.626,2.44e-05,0.111,0.308,139.733,079YDRVV6NaioJUkWD1YWG,079YDRVV6NaioJUkWD1YWG
3l2Wyag6NGCud0v9U9knzI,Time Machine,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,265293,2010-01-01,11,0.493,0.437,9,-8.933,0,0.0396,0.809,0.000132,0.366,0.33,76.813,3l2Wyag6NGCud0v9U9knzI,3l2Wyag6NGCud0v9U9knzI
5J06HsKAN81PNBWZwZgUQY,Someday,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,236960,2010-01-01,21,0.447,0.12,8,-16.17,1,0.0428,0.909,0.00756,0.109,0.267,134.237,5J06HsKAN81PNBWZwZgUQY,5J06HsKAN81PNBWZwZgUQY
4M6YrTyOE1PWLIx1bqVcaA,In You,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,292800,2010-01-01,7,0.586,0.698,9,-5.965,1,0.0442,0.743,0.0123,0.111,0.515,87.603,4M6YrTyOE1PWLIx1bqVcaA,4M6YrTyOE1PWLIx1bqVcaA
17Af5eAqoLqnDBdTe98kP7,So Hard to Let Go,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,279080,2010-01-01,8,0.498,0.291,5,-11.508,1,0.0336,0.713,0.000123,0.242,0.239,141.862,17Af5eAqoLqnDBdTe98kP7,17Af5eAqoLqnDBdTe98kP7
0Vb4bx3WLXa047jchCForj,Forever,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,277426,2010-01-01,3,0.548,0.349,9,-9.772,1,0.03,0.874,0.000136,0.224,0.318,140.07,0Vb4bx3WLXa047jchCForj,0Vb4bx3WLXa047jchCForj
2WTu0omgDUeO5pBismnvlb,Dude,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,270666,2010-01-01,2,0.439,0.579,0,-6.618,1,0.053,0.693,6.86e-06,0.179,0.717,204.353,2WTu0omgDUeO5pBismnvlb,2WTu0omgDUeO5pBismnvlb
0nzRT8xrPJNSwxsi3tYVMq,Walang Hanggan,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,274986,2010-01-01,8,0.453,0.338,4,-11.074,1,0.0405,0.849,9.83e-05,0.126,0.185,144.879,0nzRT8xrPJNSwxsi3tYVMq,0nzRT8xrPJNSwxsi3tYVMq
7e3sUBFnAqGER5GTn0LrJx,Tuloy Tuloy Pa Rin,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,265720,2010-01-01,6,0.475,0.41,9,-9.505,1,0.0376,0.869,0.0567,0.121,0.332,97.703,7e3sUBFnAqGER5GTn0LrJx,7e3sUBFnAqGER5GTn0LrJx
2Tb7CIZYfFjA1KbxKUUTuF,One Look,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4aW4RCeWwmde6JSVjDUgaD,381400,2010-01-01,3,0.435,0.226,9,-12.661,1,0.0424,0.817,0.00332,0.103,0.185,149.276,2Tb7CIZYfFjA1KbxKUUTuF,2Tb7CIZYfFjA1KbxKUUTuF
42pN2SjDx0iCDLvI115u8e,Ha?,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,289173,2008-08-09,15,0.59,0.327,5,-10.564,1,0.0435,0.76,0.00911,0.236,0.337,75.116,42pN2SjDx0iCDLvI115u8e,42pN2SjDx0iCDLvI115u8e
3nI4ej3PIobYrjeTvufKDE,Nandito Lang (Hanggang Kailan),3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,241560,2008-08-09,8,0.653,0.404,11,-11.4,0,0.0295,0.614,0.0295,0.199,0.473,123.207,3nI4ej3PIobYrjeTvufKDE,3nI4ej3PIobYrjeTvufKDE
68qOOLUg9yKjwI6LlBMXbV,Kundiman,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,220360,2008-08-09,8,0.731,0.576,11,-12.084,1,0.0547,0.638,0.45,0.115,0.879,103.9,68qOOLUg9yKjwI6LlBMXbV,68qOOLUg9yKjwI6LlBMXbV
2J0Ovh75YIhRGHHTLapTJJ,You Left Me,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,243480,2008-08-09,2,0.374,0.249,9,-14.421,1,0.0441,0.847,0.0191,0.104,0.34,154.851,2J0Ovh75YIhRGHHTLapTJJ,2J0Ovh75YIhRGHHTLapTJJ
6XazyhArhUJqpYxhuhQJvN,Mahal na mahal,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,215520,2008-08-09,9,0.537,0.268,0,-13.038,1,0.0369,0.779,0.187,0.106,0.167,77.366,6XazyhArhUJqpYxhuhQJvN,6XazyhArhUJqpYxhuhQJvN
4K72z15Bbt6153FyQYOpH0,Without You,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,299493,2008-08-09,8,0.618,0.315,2,-12.196,1,0.0357,0.635,0.0102,0.114,0.359,78.345,4K72z15Bbt6153FyQYOpH0,4K72z15Bbt6153FyQYOpH0
5QFoMfKZzE7ALV2IOugoCs,Ayoko Na,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,274826,2008-08-09,3,0.515,0.363,4,-11.656,1,0.0427,0.634,0.038,0.118,0.311,149.359,5QFoMfKZzE7ALV2IOugoCs,5QFoMfKZzE7ALV2IOugoCs
4urR4TMtkPIY1qgbDs91EQ,Maghihintay,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,252813,2008-08-09,3,0.753,0.281,9,-17.929,1,0.0478,0.717,0.413,0.17,0.799,121.609,4urR4TMtkPIY1qgbDs91EQ,4urR4TMtkPIY1qgbDs91EQ
64GmqrwsKvxBpUFTxgMIMl,Sobra Sobra,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,295360,2008-08-09,3,0.712,0.216,9,-19.059,1,0.087,0.413,0.554,0.123,0.593,114.127,64GmqrwsKvxBpUFTxgMIMl,64GmqrwsKvxBpUFTxgMIMl
3CkKSV0BzTV0fUkCIVaArq,Baby Stay,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,216013,2008-08-09,2,0.473,0.105,7,-21.164,1,0.0639,0.854,0.0264,0.108,0.196,145.268,3CkKSV0BzTV0fUkCIVaArq,3CkKSV0BzTV0fUkCIVaArq
3MYfcVRTLqo7t3ra4DqFRn,Ama Namin,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1maIgsJ7htTqCDrhe8aucE,113640,2008-08-09,10,0.0,0.118,7,-18.597,1,0.0,0.933,0.000836,0.115,0.0,0.0,3MYfcVRTLqo7t3ra4DqFRn,3MYfcVRTLqo7t3ra4DqFRn
7qUHGajuvmhnCddQjuNK6N,Because,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,263653,2008-05-06,17,0.681,0.417,7,-12.276,1,0.034,0.746,0.283,0.112,0.315,101.102,7qUHGajuvmhnCddQjuNK6N,7qUHGajuvmhnCddQjuNK6N
7nsiWbURKfKq1IVtS3b2Yy,Ain't Nothin' Gonna Keep Me From You,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,288186,2008-05-06,23,0.635,0.23,2,-13.469,1,0.0394,0.886,0.00367,0.107,0.509,109.058,7nsiWbURKfKq1IVtS3b2Yy,7nsiWbURKfKq1IVtS3b2Yy
3fctzxwfAkILwVfyxAViAI,You're Not Mine,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,187293,2008-05-06,14,0.591,0.255,4,-13.486,1,0.0344,0.901,0.287,0.111,0.255,105.858,3fctzxwfAkILwVfyxAViAI,3fctzxwfAkILwVfyxAViAI
3KbqbLxwSwFNV0ZTnzAeM9,(They Long To Be) Close To You,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,184200,2008-05-06,22,0.534,0.369,8,-10.704,1,0.0448,0.896,0.0324,0.098,0.242,80.815,3KbqbLxwSwFNV0ZTnzAeM9,3KbqbLxwSwFNV0ZTnzAeM9
7aLUT8YPqXMZl1JUJh2ffv,First of May,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,173253,2008-05-06,15,0.479,0.216,2,-11.985,1,0.0457,0.911,0.091,0.126,0.191,139.32,7aLUT8YPqXMZl1JUJh2ffv,7aLUT8YPqXMZl1JUJh2ffv
2smAMdY3pGZPVw0aWAfEzD,I Will,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,163400,2008-05-06,26,0.646,0.273,2,-12.076,1,0.0382,0.888,0.0258,0.104,0.298,98.159,2smAMdY3pGZPVw0aWAfEzD,2smAMdY3pGZPVw0aWAfEzD
62ef7BBjl7eRL2eUwZJP9i,No More Lonely Nights,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,220986,2008-05-06,26,0.384,0.343,2,-11.484,1,0.0478,0.875,0.00472,0.109,0.293,177.276,62ef7BBjl7eRL2eUwZJP9i,62ef7BBjl7eRL2eUwZJP9i
4UbeLhCrFKH3Krh0o4sH8W,What's Forever For,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,228800,2008-05-06,19,0.486,0.258,0,-12.021,1,0.0506,0.938,0.000347,0.0752,0.397,78.882,4UbeLhCrFKH3Krh0o4sH8W,4UbeLhCrFKH3Krh0o4sH8W
6bwkFs7t6ExPs5a2ER2L3i,Make You Happy,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,248013,2008-05-06,11,0.604,0.365,0,-10.984,1,0.0303,0.805,0.0119,0.125,0.337,74.138,6bwkFs7t6ExPs5a2ER2L3i,6bwkFs7t6ExPs5a2ER2L3i
5yXbkIQZOiFp0k4STiYv9x,More Than You'll Ever Know,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,202053,2008-05-06,37,0.451,0.335,11,-10.205,1,0.0312,0.865,0.0878,0.101,0.21,133.807,5yXbkIQZOiFp0k4STiYv9x,5yXbkIQZOiFp0k4STiYv9x
1vjdKdp3P8QKfbrb0eUljJ,The One You Love,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,276893,2008-05-06,29,0.556,0.301,2,-12.87,1,0.0336,0.869,0.0762,0.115,0.338,143.21,1vjdKdp3P8QKfbrb0eUljJ,1vjdKdp3P8QKfbrb0eUljJ
4y8KJSy4R3dIwVWHHMt1lf,Dreaming of You,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2A48roBpFpFjatWtksmsQE,246573,2008-05-06,23,0.569,0.249,7,-12.0,1,0.0476,0.873,0.000326,0.131,0.491,78.656,4y8KJSy4R3dIwVWHHMt1lf,4y8KJSy4R3dIwVWHHMt1lf
266fCHji9DlHmj4MEH24Xg,Sasayaw Ako,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4EQ7a4ztLVN5OUgxJJVIxY,279933,2002-06-01,0,0.6,0.74,2,-8.367,0,0.0532,0.0845,0.0,0.17,0.64,122.314,266fCHji9DlHmj4MEH24Xg,266fCHji9DlHmj4MEH24Xg
2GAsZsm7fNhBy0Q7aYTXuQ,What Is This I'm Feeling For You,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4EQ7a4ztLVN5OUgxJJVIxY,238973,2002-06-01,7,0.546,0.474,4,-9.721,1,0.0286,0.307,0.0,0.101,0.236,125.956,2GAsZsm7fNhBy0Q7aYTXuQ,2GAsZsm7fNhBy0Q7aYTXuQ
4hTnrPQ0EsUed8vXq4tkan,In Love Ako Sa 'Yo,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4EQ7a4ztLVN5OUgxJJVIxY,220866,2002-06-01,10,0.629,0.56,6,-7.553,1,0.023,0.514,0.0,0.101,0.458,104.963,4hTnrPQ0EsUed8vXq4tkan,4hTnrPQ0EsUed8vXq4tkan
2WAwxaI7lyIfy7eS1lus3Y,Be My Lady,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4EQ7a4ztLVN5OUgxJJVIxY,233640,2002-06-01,11,0.264,0.533,5,-6.713,1,0.0321,0.544,0.0,0.164,0.134,79.499,2WAwxaI7lyIfy7eS1lus3Y,2WAwxaI7lyIfy7eS1lus3Y
3RYkG7WmnRK6HSejhCo7jw,Ikaw Lang Para Sa Akin,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4EQ7a4ztLVN5OUgxJJVIxY,259746,2002-06-01,8,0.394,0.561,0,-5.758,1,0.0403,0.63,0.0,0.0645,0.543,200.132,3RYkG7WmnRK6HSejhCo7jw,3RYkG7WmnRK6HSejhCo7jw
0PhKUUh0XzAHev6opemDtH,'Di Na Mapigilan,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4EQ7a4ztLVN5OUgxJJVIxY,263186,2002-06-01,1,0.567,0.52,2,-8.33,1,0.0433,0.105,0.0,0.091,0.558,171.918,0PhKUUh0XzAHev6opemDtH,0PhKUUh0XzAHev6opemDtH
4wt6antGdiSjTZWoyLVibi,Sweetest Sugar,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4EQ7a4ztLVN5OUgxJJVIxY,225120,2002-06-01,1,0.655,0.65,9,-7.015,1,0.0237,0.056,0.0,0.126,0.607,96.063,4wt6antGdiSjTZWoyLVibi,4wt6antGdiSjTZWoyLVibi
4KJVryttL1duMPn0gqWVM7,Tunay Na Tunay,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4EQ7a4ztLVN5OUgxJJVIxY,294906,2002-06-01,6,0.56,0.478,6,-9.035,0,0.0289,0.318,0.0,0.0539,0.451,79.999,4KJVryttL1duMPn0gqWVM7,4KJVryttL1duMPn0gqWVM7
58bROXWH764oojk4JBuXTh,You're My You,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4EQ7a4ztLVN5OUgxJJVIxY,276853,2002-06-01,19,0.416,0.56,0,-11.272,1,0.0409,0.566,0.0,0.0827,0.273,96.011,58bROXWH764oojk4JBuXTh,58bROXWH764oojk4JBuXTh
1LsiUfQrvGHewEnzyipf6j,Love At First Sight,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4EQ7a4ztLVN5OUgxJJVIxY,218720,2002-06-01,1,0.597,0.603,6,-5.559,1,0.0244,0.584,0.0,0.099,0.639,95.071,1LsiUfQrvGHewEnzyipf6j,1LsiUfQrvGHewEnzyipf6j
2eBPqjjEk3OXdObmcICE2l,May Aasahan Ba,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,4EQ7a4ztLVN5OUgxJJVIxY,267506,2002-06-01,0,0.651,0.633,1,-7.101,0,0.0356,0.493,0.0,0.17,0.522,132.243,2eBPqjjEk3OXdObmcICE2l,2eBPqjjEk3OXdObmcICE2l
6gsF0KXACH5HK8QvtRcaMn,Huling Sayaw,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,6Mo7cq7JRqSBZVDqXvwSel,274812,2020-11-20,27,0.492,0.477,10,-7.899,1,0.0256,0.562,1.57e-06,0.154,0.298,137.927,6gsF0KXACH5HK8QvtRcaMn,6gsF0KXACH5HK8QvtRcaMn
6SAdNS3NzG8PGHnRAIT6sg,I Wanna Kiss You,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,53Vzv0bR02zAV9S2bsCyFc,164400,2020-10-09,15,0.485,0.367,11,-12.894,1,0.0335,0.0359,0.0,0.0349,0.788,199.835,6SAdNS3NzG8PGHnRAIT6sg,6SAdNS3NzG8PGHnRAIT6sg
0zTSxmqujphGqVNdd33Mq5,Awit Ko Na Naisulat Dahil Sa Kagandahan Mo - Minus One,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,0lPcGBzpPjoMAS62iExieD,237600,2020-08-07,0,0.682,0.635,7,-9.824,1,0.0406,0.333,0.831,0.116,0.719,99.983,0zTSxmqujphGqVNdd33Mq5,0zTSxmqujphGqVNdd33Mq5
3V8UIN1Xli8KmgyevIle2Y,Awit Ko Na Naisulat Dahil Sa Kagandahan Mo,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,5S0ZDnuNJpjlN9YiHYpsCW,236419,2020-07-10,12,0.689,0.7,7,-7.555,1,0.0469,0.474,0.000806,0.0882,0.673,100.066,3V8UIN1Xli8KmgyevIle2Y,3V8UIN1Xli8KmgyevIle2Y
79cNKZg5oo2FHmnj99K8rQ,Pieces of My Life,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,2Gxsv9XrzRkrjexEWWaxaH,291830,2019-04-11,0,0.298,0.213,9,-11.79,1,0.0421,0.929,0.000194,0.106,0.348,175.989,79cNKZg5oo2FHmnj99K8rQ,79cNKZg5oo2FHmnj99K8rQ
6m9YKCOZpdkLzPqUwCM9ha,Chosen,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,6wh0T0S950yhOVVT6kJjm2,313541,2018-05-08,8,0.57,0.714,4,-7.664,1,0.038,0.16,0.0,0.12,0.449,130.058,6m9YKCOZpdkLzPqUwCM9ha,6m9YKCOZpdkLzPqUwCM9ha
